compiler,compiler_flags,ELEMS,OFFSET,IDX0,IDX1,IDX2,INSTRUCTIONS_RETIRED,CFG,CL_IDX0,CL_IDX1,CL_IDX2,DiscardedpapiValues,DiscardedtscValues,GATHER,N_CL,N_SET,SET_IDX0,SET_IDX1,SET_IDX2,loop_interchange,loops_vectorized,tsc,vgatherdps_XMM_GPR_GPR_MEM_XMM,vmovaps_XMM_XMM,vxorps_XMM_XMM_XMM,SCATTER,kmovb_GPR_GPR,vmovq_XMM_GPR,vscatterdps_MEM_XMM,overhead_instructions,overhead_loop
gcc-11, -march=native -mtune=native -Ofast ,3,65536,0,1,2,6.731,-DGATHER,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,112.59720000000002,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,3,65536,0,1,2,7.7331,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,201.81480000000002,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,3,65536,0,1,9,6.731,-DGATHER,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,114.93520000000001,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,3,65536,0,1,9,7.733,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,205.7304,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,3,65536,0,1,32,6.731200000000001,-DGATHER,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,120.08579999999999,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,3,65536,0,1,32,7.733200000000001,-DSCATTER,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,213.967,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,3,65536,0,8,2,6.731,-DGATHER,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,116.1036,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,3,65536,0,8,2,7.7331,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,204.541,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,3,65536,0,8,9,6.7311000000000005,-DGATHER,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,114.83139999999999,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,3,65536,0,8,9,7.733199999999999,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,207.77100000000002,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,3,65536,0,8,32,6.731199999999999,-DGATHER,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,118.07340000000002,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,3,65536,0,8,32,7.7331,-DSCATTER,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,213.96839999999997,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.034
