compiler,compiler_flags,ELEMS,OFFSET,IDX0,IDX1,IDX2,IDX3,IDX4,INSTRUCTIONS_RETIRED,CFG,CL_IDX0,CL_IDX1,CL_IDX2,CL_IDX3,CL_IDX4,DiscardedpapiValues,DiscardedtscValues,GATHER,N_CL,N_SET,SET_IDX0,SET_IDX1,SET_IDX2,SET_IDX3,SET_IDX4,loop_interchange,loops_vectorized,tsc,vgatherdps_YMM_GPR_GPR_MEM_YMM,vmovaps_YMM_YMM,vxorps_XMM_XMM_XMM,SCATTER,kmovb_GPR_GPR,vmovq_XMM_GPR,vscatterdps_MEM_YMM,overhead_instructions,overhead_loop
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,2,3,4,6.730000000000001,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.628,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,2,3,4,7.733,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.4502,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,2,3,11,6.730000000000001,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.418,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,2,3,11,7.733199999999999,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.1794,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,2,3,64,6.730000000000001,-DGATHER,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,111.5068,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,2,3,64,7.733,-DSCATTER,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,210.0674,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,2,10,4,6.730000000000001,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.10139999999998,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,2,10,4,7.733,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.71300000000002,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,2,10,11,6.730000000000001,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.7798,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,2,10,11,7.733,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.2518,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,2,10,64,6.730000000000001,-DGATHER,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,115.88739999999999,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,2,10,64,7.7331,-DSCATTER,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,211.73319999999998,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,2,48,4,6.730000000000001,-DGATHER,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,120.77820000000001,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,2,48,4,7.733,-DSCATTER,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,236.7652,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,2,48,11,6.730000000000001,-DGATHER,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,120.574,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,2,48,11,7.733199999999999,-DSCATTER,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,234.8192,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,2,48,64,6.730000000000001,-DGATHER,0.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,118.2272,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,2,48,64,7.7331,-DSCATTER,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,217.844,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,9,3,4,6.730000000000001,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.61760000000001,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,9,3,4,7.733,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.75799999999998,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,9,3,11,6.730000000000001,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.2192,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,9,3,11,7.733199999999999,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.60139999999998,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,9,3,64,6.73,-DGATHER,0.0,0.0,0.0,0.0,4.0,0.1,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,117.82840000000002,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,9,3,64,7.7331,-DSCATTER,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,216.38939999999997,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,9,10,4,6.730000000000001,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.06199999999998,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,9,10,4,7.733,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.266,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,9,10,11,6.73,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.52959999999999,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,9,10,11,7.7331,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.61079999999998,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,9,10,64,6.730000000000001,-DGATHER,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,119.75919999999999,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,9,10,64,7.733,-DSCATTER,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,213.1096,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,9,48,4,6.73,-DGATHER,0.0,0.0,0.0,3.0,0.0,0.1,0.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,120.524,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,9,48,4,7.733500000000001,-DSCATTER,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,235.0404,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,9,48,11,6.73,-DGATHER,0.0,0.0,0.0,3.0,0.0,0.1,0.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,117.63399999999999,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,9,48,11,7.733200000000001,-DSCATTER,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,235.71580000000003,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,9,48,64,6.73,-DGATHER,0.0,0.0,0.0,3.0,4.0,0.1,0.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,122.6328,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,9,48,64,7.733199999999999,-DSCATTER,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,216.2572,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,32,3,4,6.730000000000001,-DGATHER,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,118.19200000000001,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,32,3,4,7.7331,-DSCATTER,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,235.00619999999998,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,32,3,11,6.730000000000001,-DGATHER,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,119.97679999999998,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,32,3,11,7.7333,-DSCATTER,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,231.1518,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,32,3,64,6.730000000000001,-DGATHER,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,117.13199999999999,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,32,3,64,7.7331,-DSCATTER,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,244.1984,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,32,10,4,6.730199999999999,-DGATHER,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,112.57659999999998,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,32,10,4,7.7331,-DSCATTER,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,234.7004,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,32,10,11,6.730000000000001,-DGATHER,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,118.85119999999999,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.034
gcc-11, -march=native -mtune=native -Ofast ,5,65536,0,1,32,10,11,7.733200000000001,-DSCATTER,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,238.4106,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0.034
