N_SET,N_CL,tsc,tsc_cat
1.0,1.0,9.710037142857145,tsc-09.623-12.964
2.0,2.0,10.004637142857144,tsc-09.623-12.964
1.0,2.0,10.904465714285717,tsc-09.623-12.964
2.0,2.0,9.751837142857145,tsc-09.623-12.964
3.0,3.0,9.72255142857143,tsc-09.623-12.964
2.0,3.0,10.028980000000002,tsc-09.623-12.964
1.0,2.0,10.036208571428572,tsc-09.623-12.964
2.0,3.0,10.035551428571429,tsc-09.623-12.964
1.0,3.0,10.376465714285716,tsc-09.623-12.964
2.0,2.0,9.99063714285714,tsc-09.623-12.964
3.0,3.0,10.03912285714286,tsc-09.623-12.964
2.0,3.0,10.050494285714285,tsc-09.623-12.964
3.0,3.0,9.733522857142857,tsc-09.623-12.964
4.0,4.0,9.694151428571429,tsc-09.623-12.964
3.0,4.0,10.004465714285717,tsc-09.623-12.964
2.0,3.0,10.398465714285717,tsc-09.623-12.964
3.0,4.0,10.040951428571429,tsc-09.623-12.964
2.0,4.0,10.345465714285714,tsc-09.623-12.964
1.0,2.0,10.018808571428574,tsc-09.623-12.964
2.0,3.0,9.999122857142856,tsc-09.623-12.964
1.0,3.0,10.506237142857142,tsc-09.623-12.964
2.0,3.0,10.06115142857143,tsc-09.623-12.964
3.0,4.0,10.048665714285717,tsc-09.623-12.964
2.0,4.0,10.338865714285712,tsc-09.623-12.964
1.0,3.0,10.41058,tsc-09.623-12.964
2.0,4.0,10.413751428571429,tsc-09.623-12.964
1.0,4.0,10.75015142857143,tsc-09.623-12.964
2.0,2.0,9.747208571428573,tsc-09.623-12.964
3.0,3.0,10.01555142857143,tsc-09.623-12.964
2.0,3.0,10.65883714285714,tsc-09.623-12.964
3.0,3.0,9.899094285714284,tsc-09.623-12.964
4.0,4.0,9.75632285714286,tsc-09.623-12.964
3.0,4.0,10.030608571428573,tsc-09.623-12.964
2.0,3.0,10.081065714285716,tsc-09.623-12.964
3.0,4.0,10.019094285714289,tsc-09.623-12.964
2.0,4.0,10.342837142857144,tsc-09.623-12.964
3.0,3.0,9.676608571428572,tsc-09.623-12.964
4.0,4.0,9.730608571428572,tsc-09.623-12.964
3.0,4.0,10.045180000000002,tsc-09.623-12.964
4.0,4.0,10.022265714285712,tsc-09.623-12.964
5.0,5.0,9.727294285714285,tsc-09.623-12.964
4.0,5.0,10.072694285714286,tsc-09.623-12.964
3.0,4.0,10.033379999999996,tsc-09.623-12.964
4.0,5.0,10.278465714285716,tsc-09.623-12.964
3.0,5.0,10.752579999999998,tsc-09.623-12.964
2.0,3.0,10.029780000000002,tsc-09.623-12.964
3.0,4.0,10.324865714285716,tsc-09.623-12.964
