,compiler,compiler_flags,IDX0,IDX1,IDX2,IDX3,IDX4,IDX5,IDX6,IDX7,INSTRUCTIONS_RETIRED,CFG,DiscardedpapiValues,DiscardedtimeValues,DiscardedtscValues,FLOPSs,GATHER,papi,time,tsc,vgatherdps_YMM_GPR_GPR_MEM_YMM,vmovaps_YMM_GPR_GPR_MEM,vmovdqa_YMM_GPR_GPR_LABEL,SCATTER,kxnorb_GPR_GPR_GPR,vmovq_XMM_GPR,vscatterdps_IMM_YMM,vxorps_XMM_XMM_XMM,overhead_instructions,overhead_loop,SET_IDX0,SET_IDX1,SET_IDX2,SET_IDX3,SET_IDX4,SET_IDX5,SET_IDX6,SET_IDX7,CL_IDX0,CL_IDX1,CL_IDX2,CL_IDX3,CL_IDX4,CL_IDX5,CL_IDX6,CL_IDX7,N_CL,N_SETS
0,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,6,7,0.0,-DGATHER,0.0,0.0,0.0,295358649.7890295,1.0,5.073100000000001,3.385714285714286e-09,7.143,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.01032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,6,7,0.0,-DSCATTER,0.0,0.0,0.0,220125786.163522,0.0,7.073099999999998,4.542857142857143e-09,10.5972,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.01032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,6,112,0.0,-DGATHER,0.0,0.0,0.0,304347826.0869565,1.0,5.073100000000001,3.285714285714286e-09,6.9546,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.01032,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,2,2
3,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,6,112,0.0,-DSCATTER,0.0,0.0,0.0,220125786.163522,0.0,7.073114285714285,4.542857142857144e-09,10.650142857142855,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.01032,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,2,2
4,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,6,234,0.0,-DGATHER,0.0,0.0,0.0,295358649.78902954,1.0,5.0731142857142855,3.385714285714285e-09,7.108142857142857,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.01032,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,14,2,2
5,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,6,234,0.0,-DSCATTER,0.0,0.0,0.0,220125786.163522,0.0,7.073099999999998,4.542857142857143e-09,10.617142857142856,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.01032,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,14,2,2
6,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,96,7,0.0,-DGATHER,0.0,0.0,0.0,300429184.5493562,1.0,5.0731142857142855,3.3285714285714287e-09,7.108399999999999,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.01032,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,2,2
7,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,96,7,0.0,-DSCATTER,0.0,0.0,0.0,220125786.163522,0.0,7.073099999999998,4.542857142857143e-09,10.637285714285714,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.01032,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,2,2
8,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,96,112,0.0,-DGATHER,0.0,0.0,0.0,296610169.4915254,1.0,5.073100000000001,3.3714285714285714e-09,7.191057142857141,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.01032,0,0,0,0,0,0,6,7,0,0,0,0,0,0,6,7,3,3
9,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,96,112,0.0,-DSCATTER,0.0,0.0,0.0,206489675.51622415,0.0,7.073099999999998,4.842857142857143e-09,10.863,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.01032,0,0,0,0,0,0,6,7,0,0,0,0,0,0,6,7,3,3
10,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,96,234,0.0,-DGATHER,0.0,0.0,0.0,301724137.93103445,1.0,5.073100000000001,3.3142857142857152e-09,7.160628571428573,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.01032,0,0,0,0,0,0,6,6,0,0,0,0,0,0,6,14,3,2
11,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,96,234,0.0,-DSCATTER,0.0,0.0,0.0,214723926.38036808,0.0,7.073099999999998,4.6571428571428584e-09,10.644285714285717,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.01032,0,0,0,0,0,0,6,6,0,0,0,0,0,0,6,14,3,2
12,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,109,7,0.0,-DGATHER,0.0,0.0,0.0,283400809.7165992,1.0,5.073100000000001,3.5285714285714292e-09,7.477685714285714,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.01032,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,2,2
13,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,109,7,0.0,-DSCATTER,0.0,0.0,0.0,218068535.8255452,0.0,7.073099999999998,4.585714285714286e-09,10.602914285714286,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.01032,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,2,2
14,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,109,112,0.0,-DGATHER,0.0,0.0,0.0,294117647.0588235,1.0,5.073100000000001,3.4000000000000003e-09,7.142828571428572,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.01032,0,0,0,0,0,0,6,7,0,0,0,0,0,0,6,7,3,3
15,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,109,112,0.0,-DSCATTER,0.0,0.0,0.0,220125786.163522,0.0,7.073099999999998,4.542857142857144e-09,10.62822857142857,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.01032,0,0,0,0,0,0,6,7,0,0,0,0,0,0,6,7,3,3
16,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,109,234,0.0,-DGATHER,0.0,0.0,0.0,296610169.4915254,1.0,5.073100000000001,3.3714285714285718e-09,7.154257142857142,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.01032,0,0,0,0,0,0,6,6,0,0,0,0,0,0,6,14,3,2
17,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,109,234,0.0,-DSCATTER,0.0,0.0,0.0,218750000.0,0.0,7.073128571428571,4.571428571428571e-09,10.61365714285714,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.01032,0,0,0,0,0,0,6,6,0,0,0,0,0,0,6,14,3,2
