compiler,compiler_flags,MARTA_NUM_THREADS,OFFSET,STREAM_ARRAY_SIZE,ADD_VERSION,STRIDE,SW_PREFETCH,MEM_LOAD_UOPS_RETIRED:L1_HIT,MEM_LOAD_UOPS_RETIRED:L1_MISS,L2_RQSTS:DEMAND_DATA_RD_HIT,L2_RQSTS:DEMAND_DATA_RD_MISS,LONGEST_LAT_CACHE:MISS,MEM_LOAD_L3_MISS_RETIRED:LOCAL_DRAM,MEM_INST_RETIRED:ALL_LOADS,MEM_INST_RETIRED:ALL_STORES,n_thread,tsc,loops_vectorized,loop_interchange,BANDWIDTH,overhead_instructions,overhead_loop
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,0,1,0,297203.0,3628245.0,1195894.0,2089273.0,5574439.0,751829.0,8388403.0,4194696.0,0.0,60779160.0,9.0,0.0,13.912197641428412,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,0,2,0,288093.0,3628548.0,1195026.0,2087385.0,5573886.0,752260.0,8388530.0,4194696.0,0.0,60762186.0,9.0,0.0,13.916084032921397,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,0,4,0,282076.0,3635433.0,1179563.0,2108785.0,5581897.0,764715.0,8388742.0,4194696.0,0.0,61107502.0,9.0,0.0,13.83744480996785,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,0,8,0,279914.0,3637294.0,1180637.0,2106933.0,5582035.0,764980.0,8388695.0,4194696.0,0.0,61123320.0,9.0,0.0,13.833863841165696,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,0,16,0,280171.0,3638853.0,1181001.0,2105352.0,5581989.0,764687.0,8389023.0,4194696.0,0.0,61100662.0,9.0,0.0,13.83899386229236,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,0,32,0,283905.0,3636293.0,1181173.0,2107494.0,5581405.0,764351.0,8389022.0,4194696.0,0.0,61117254.0,9.0,0.0,13.835236877625425,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,0,64,0,283924.0,3636990.0,1179214.0,2107569.0,5582873.0,765138.0,8388712.0,4194696.0,0.0,61103658.0,9.0,0.0,13.838315316572373,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,0,128,0,290606.0,3635253.0,1179301.0,2105453.0,5581654.0,763588.0,8388975.0,4194696.0,0.0,61112334.0,9.0,0.0,13.836350717680002,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,0,256,0,289819.0,3638021.0,1178004.0,2108081.0,5581547.0,764788.0,8389022.0,4194696.0,0.0,61076314.0,9.0,0.0,13.844510760750888,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,0,512,0,286817.0,3636120.0,1176373.0,2107245.0,5581191.0,763323.0,8389022.0,4194696.0,0.0,61073214.0,9.0,0.0,13.84521349081121,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,0,1024,0,294197.0,3637395.0,1178825.0,2105094.0,5581476.0,763811.0,8389022.0,4194696.0,0.0,61089460.0,9.0,0.0,13.841531524423363,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,0,2048,0,290553.0,3631792.0,1136274.0,2058376.0,5576177.0,1.0,8381020.0,4194696.0,0.0,60733890.0,9.0,0.0,13.922567554951609,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,0,4096,0,286604.0,3622251.0,1195370.0,2090344.0,5573384.0,754359.0,8388723.0,4194696.0,0.0,60778804.0,9.0,0.0,13.91227912941492,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,0,8192,0,286777.0,3627566.0,1193209.0,2087086.0,5574184.0,754639.0,8388704.0,4194696.0,0.0,60787458.0,9.0,0.0,13.910298509274726,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,0,16384,0,288073.0,3618071.0,1193614.0,2090671.0,5574653.0,752707.0,8389022.0,4194696.0,0.0,60773438.0,9.0,0.0,13.913507516227732,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,0,32768,0,294594.0,3628578.0,1196058.0,2088475.0,5573997.0,752961.0,8382169.0,4194696.0,0.0,60741308.0,9.0,0.0,13.920867268778604,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,0,65536,0,290012.0,3627609.0,1192286.0,2088653.0,5573990.0,754471.0,8388693.0,4194696.0,0.0,60738032.0,9.0,0.0,13.92161811235504,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,0,131072,0,291557.0,3625610.0,1194887.0,2087590.0,5573784.0,754375.0,8381462.0,4194696.0,0.0,60755460.0,9.0,0.0,13.917624628305012,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,0,262144,0,285789.0,3624814.0,1194235.0,2088179.0,5573820.0,754456.0,8389022.0,4194696.0,0.0,60777364.0,9.0,0.0,13.91260875348263,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,0,524288,0,290312.0,3619124.0,1194806.0,2088651.0,5573798.0,754397.0,8389023.0,4194696.0,0.0,60753482.0,9.0,0.0,13.918077755609136,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,0,1048576,0,291655.0,3619290.0,1194063.0,2089300.0,5573771.0,753232.0,8389022.0,4194696.0,0.0,60768698.0,9.0,0.0,13.914592779328595,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,11,1,0,262944.0,3100303.0,1108720.0,1961879.0,5589484.0,619879.0,8386400.0,4194696.0,0.0,61468120.0,9.0,0.0,13.756264001566992,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,11,2,0,291163.0,3264363.0,685646.0,2484048.0,7162223.0,2019680.0,8387270.0,4194696.0,0.0,83816418.0,9.0,0.0,10.08837774957169,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,11,4,0,301257.0,3323273.0,626863.0,2801113.0,7767397.0,2293479.0,8387153.0,4194696.0,0.0,94974470.0,9.0,0.0,8.903147197346824,0,0
