,CPU_CLK_THREAD_UNHALTED:THREAD_P,INST_RETIRED:ANY_P,UOPS_RETIRED:ALL,UOPS_ISSUED:ALL,UOPS_EXECUTED:THREAD,UOPS_RETIRED:STALL_CYCLES,UOPS_ISSUED:STALL_CYCLES,UOPS_EXECUTED:STALL_CYCLES,CL,V_LEN,X_IDX_A,X_N,BROADCAST,X_IDX_B,X_IDX_C,X_IDX_D,X_IDX_E,X_IDX_F,X_IDX_G,X_IDX_H,N_CL
0,1.0039446,4.000159200000001,4.000394600000001,3.000451,4.000474200000001,0.0012394,0.0614152,0.000796,1,4,3,1,-1.0,-1,-1,-1,,,,,"(1, 1)"
1,1.0039842,4.00016,4.000440599999999,3.0003896,4.0002468,0.000612,0.0277882,0.0008774,1,4,3,1,1.0,-1,-1,-1,,,,,"(1, 1)"
2,1.5064066,4.000159200000001,4.0003952,3.0005420000000003,4.000614199999999,0.4399228,0.6432900000000001,0.293867,1,4,3,2,-1.0,4,-1,-1,,,,,"(2, 1)"
3,2.160327,6.000160200000001,6.0005006,5.000550199999999,6.000487600000001,0.1793564,0.1413838,0.0023564,1,4,3,2,-1.0,7,-1,-1,,,,,"(2, 1)"
4,2.0044564,6.00016,6.0004888,5.0005352,6.000546,0.001522,0.0013947999999999,0.001254,2,4,3,2,-1.0,42,-1,-1,,,,,"(2, 2)"
5,2.0043742,4.000162,5.903419600000001,4.6941424,5.9535664,0.5818947999999999,0.0011664,0.0012638,1,4,3,3,-1.0,4,5,-1,,,,,"(3, 1)"
6,2.154296,6.0001598000000005,6.000441400000001,5.0005916,6.0005474,0.0875644,0.1764544,0.0011454,1,4,3,3,-1.0,4,11,-1,,,,,"(3, 1)"
7,2.0042566,7.000159999999999,8.000439400000001,6.0006096,7.0005918000000005,0.0013897999999999,0.3271012,0.0011078,1,4,3,3,-1.0,10,11,-1,,,,,"(3, 1)"
8,5.0070248,6.0001658,9.000910999999999,8.0013216,8.0012158,0.0021295999999999,3.0019872,2.0017846,1,4,3,3,-1.0,10,4,-1,,,,,"(3, 1)"
9,5.0052894,6.0001652,9.0007722,8.0012274,8.0011306,0.0019014,3.0019104,2.0016816000000004,1,4,3,3,-1.0,9,11,-1,,,,,"(3, 1)"
10,5.005901,6.000165399999999,9.0008202,8.001239,8.0012298,0.0020946,3.0020384,2.0018124,1,4,0,3,-1.0,9,11,-1,,,,,"(3, 1)"
11,2.1430568,6.000160200000001,6.0005344,5.000602000000001,6.000540599999999,0.1632954,0.2079778,0.0012905999999999,2,4,3,3,-1.0,4,17,-1,,,,,"(3, 2)"
12,2.0044442,7.000159999999999,8.000488200000001,6.0005256,7.0005936,0.0013566,0.2157948,0.0010218,2,4,3,3,-1.0,16,17,-1,,,,,"(3, 2)"
13,5.005372400000001,6.000165399999999,9.000818599999999,8.0011582,8.0010512,0.0018821999999999,3.001808,2.0016658,2,4,3,3,-1.0,11,21,-1,,,,,"(3, 2)"
14,2.0040862,7.0001598000000005,8.0005652,6.0005916,7.0005128,0.0013804,0.3093816,0.0012152,2,4,21,3,-1.0,3,4,-1,,,,,"(3, 2)"
