MATRIX,CFG,Compiler,CPU_CLK_THREAD_UNHALTED:THREAD_P,INST_RETIRED:ANY_P,UOPS_EXECUTED:STALL_CYCLES,AUTOVEC,DiscardedPapiValues,MACVETH,Scop Skipped,Scop Vect.
test-codes/bibd_15_3.spf.c, AUTOVEC=true ,gcc,9177.894736842105,2082.0,1148.5,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/bibd_15_3.spf.c, MACVETH ,gcc,10149.9,2128.0,1142.85,-1,0.0,1.0,0.0,41.0
test-codes/football.spf.c, AUTOVEC=true ,gcc,10951.052631578947,2813.0,321.45,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/football.spf.c, MACVETH ,gcc,16470.157894736843,3774.0,807.2,-1,0.016666666666666666,1.0,0.0,86.0
test-codes/spaceStation_3.spf.c, AUTOVEC=true ,gcc,26998.052631578947,5725.0,3870.15,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/spaceStation_3.spf.c, MACVETH ,gcc,29701.9,7964.0,2912.0,-1,0.0,1.0,0.0,31.0
test-codes/adder_dcop_06.spf.c, AUTOVEC=true ,gcc,78069.6,20319.0,6679.7,true,0.0,-1.0,-1.0,-1.0
test-codes/adder_dcop_06.spf.c, MACVETH ,gcc,93596.36842105263,24043.0,6586.9473684210525,-1,0.03333333333333333,1.0,0.0,488.0
test-codes/N_biocarta.spf.c, AUTOVEC=true ,gcc,39811.52631578947,11268.0,1175.157894736842,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/N_biocarta.spf.c, MACVETH ,gcc,44859.78947368421,11918.0,1452.9473684210527,-1,0.03333333333333333,1.0,0.0,219.0
test-codes/celegans_metabolic.spf.c, AUTOVEC=true ,gcc,33620.5,8153.0,2533.842105263158,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/celegans_metabolic.spf.c, MACVETH ,gcc,42242.89473684211,10731.0,1945.0,-1,0.03333333333333333,1.0,0.0,341.0
test-codes/Pd.spf.c, AUTOVEC=true ,gcc,87482.45,20784.0,6273.0526315789475,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/Pd.spf.c, MACVETH ,gcc,93517.95,21559.0,5471.15,-1,0.0,1.0,0.0,359.0
test-codes/3elt_dual.spf.c, AUTOVEC=true ,gcc,247123.42105263157,68971.0,8022.65,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/3elt_dual.spf.c, MACVETH ,gcc,325163.95,85170.0,16495.05,-1,0.016666666666666666,1.0,0.0,1934.0
test-codes/G3.spf.c, AUTOVEC=true ,gcc,271710.6842105263,76767.0,12494.85,true,0.03333333333333333,-1.0,-1.0,-1.0
