MATRIX,CFG,Compiler,CPU_CLK_THREAD_UNHALTED:THREAD_P,INST_RETIRED:ANY_P,UOPS_EXECUTED:STALL_CYCLES,AUTOVEC,DiscardedPapiValues,MACVETH,Scop Skipped,Scop Vect.
test-codes/bibd_15_3.spf.c, AUTOVEC=true ,gcc,9223.684210526315,2082.0,1153.0,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/bibd_15_3.spf.c, MACVETH ,gcc,9834.6,2125.0,1123.15,-1,0.0,1.0,0.0,41.0
test-codes/football.spf.c, AUTOVEC=true ,gcc,10710.21052631579,2813.0,321.75,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/football.spf.c, MACVETH ,gcc,16735.8,3591.0,833.1,-1,0.0,1.0,0.0,86.0
test-codes/spaceStation_3.spf.c, AUTOVEC=true ,gcc,26773.65,5725.0,3873.25,true,0.0,-1.0,-1.0,-1.0
test-codes/spaceStation_3.spf.c, MACVETH ,gcc,28766.052631578947,5781.0,3575.65,-1,0.016666666666666666,1.0,0.0,31.0
test-codes/adder_dcop_06.spf.c, AUTOVEC=true ,gcc,77465.5,20319.0,6687.0526315789475,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/adder_dcop_06.spf.c, MACVETH ,gcc,92126.84210526316,24051.0,6636.894736842105,-1,0.03333333333333333,1.0,0.0,487.0
test-codes/N_biocarta.spf.c, AUTOVEC=true ,gcc,40393.6,11268.0,1186.3684210526317,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/N_biocarta.spf.c, MACVETH ,gcc,44426.25,11992.0,1438.15,-1,0.0,1.0,0.0,219.0
test-codes/celegans_metabolic.spf.c, AUTOVEC=true ,gcc,33292.78947368421,8153.0,2551.6315789473683,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/celegans_metabolic.spf.c, MACVETH ,gcc,42384.85,10619.0,2032.55,-1,0.0,1.0,0.0,341.0
test-codes/Pd.spf.c, AUTOVEC=true ,gcc,86796.15,20784.0,6334.368421052632,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/Pd.spf.c, MACVETH ,gcc,94069.3,21350.0,5694.45,-1,0.016666666666666666,1.0,0.0,358.0
test-codes/3elt_dual.spf.c, AUTOVEC=true ,gcc,251264.0,68971.0,8243.105263157895,true,0.05,-1.0,-1.0,-1.0
test-codes/3elt_dual.spf.c, MACVETH ,gcc,323116.9,79581.0,15586.3,-1,0.016666666666666666,1.0,0.0,1934.0
test-codes/G3.spf.c, AUTOVEC=true ,gcc,274070.84210526315,76767.15,11963.55,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/G3.spf.c, MACVETH ,gcc,367763.2631578947,99127.0,20136.36842105263,-1,0.03333333333333333,1.0,0.0,2755.0
test-codes/cat_ears_3_4.spf.c, AUTOVEC=true ,gcc,319178.05263157893,81765.0,14214.3,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/cat_ears_3_4.spf.c, MACVETH ,gcc,435453.94736842107,108448.15,23680.947368421053,-1,0.03333333333333333,1.0,0.0,3050.0
test-codes/cep1.spf.c, AUTOVEC=true ,gcc,66774.73684210527,17432.0,2128.5,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/cep1.spf.c, MACVETH ,gcc,71287.57894736843,19475.0,3229.5789473684213,-1,0.03333333333333333,1.0,0.0,485.0
test-codes/circuit_2.spf.c, AUTOVEC=true ,gcc,138878.52631578947,35779.0,20326.6,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/circuit_2.spf.c, MACVETH ,gcc,158838.0,39100.0,17631.8,-1,0.0,1.0,0.0,887.0
