MATRIX,CFG,Compiler,CPU_CLK_THREAD_UNHALTED:THREAD_P,INST_RETIRED:ANY_P,UOPS_EXECUTED:STALL_CYCLES,AUTOVEC,DiscardedPapiValues,DiscardedTscValues,tsc,vaddss_MEM_XMM_XMM,vaddss_XMM_XMM_XMM,vextractf128_IMM_YMM_XMM,vextractps_IMM_XMM_MEM,vfmadd132ps_MEM_XMM_XMM,vfmadd132ps_MEM_YMM_YMM,vfmadd132ss_MEM_XMM_XMM,vfmadd132ss_XMM_XMM_XMM,vfmadd213ps_MEM_YMM_YMM,vfmadd213ss_MEM_XMM_XMM,vfmadd231ps_MEM_XMM_XMM,vfmadd231ps_MEM_YMM_YMM,vfmadd231ss_MEM_XMM_XMM,vfmadd231ss_XMM_XMM_XMM,vinsertps_IMM_MEM_XMM_XMM,vmovaps_XMM_XMM,vmovdqa_XMM_XMM,vmovlhps_XMM_XMM_XMM,vmovss_MEM_XMM,vmovss_XMM_MEM,vmovups_MEM_XMM,vmovups_MEM_YMM,vmovups_XMM_MEM,vmovups_YMM_MEM,vmulps_MEM_XMM_XMM,vmulps_MEM_YMM_YMM,vshufps_IMM_MEM_XMM_XMM,vshufps_IMM_XMM_XMM_XMM,vunpckhps_XMM_XMM_XMM,vzeroupper,MACVETH,Scop Skipped,Scop Vect.,kmovb_GPR_GPR,kxnorb_GPR_GPR_GPR,leaq_MEM_GPR,vaddps_YMM_YMM_YMM,vblendps_IMM_MEM_YMM_YMM,vblendps_IMM_YMM_YMM_YMM,vcmpeqps_XMM_XMM_XMM,vcmpps_IMM_YMM_YMM_YMM,vfmadd132ps_YMM_YMM_YMM,vfmadd231ps_YMM_YMM_YMM,vgatherdps_XMM_MEM_XMM,vgatherdps_YMM_MEM_YMM,vinsertf32x4_IMM_XMM_YMM_YMM,vinsertps_IMM_XMM_XMM_XMM,vmovaps_YMM_YMM,vmovdqa64_LABEL_XMM,vmovdqa64_LABEL_YMM,vmovhps_MEM_XMM_XMM,vmovhps_XMM_MEM,vmovlps_MEM_XMM_XMM,vmovlps_XMM_MEM,vmovq_MEM_XMM,vpermi2ps_MEM_XMM_XMM,vpermilps_IMM_YMM_YMM,vpermt2ps_MEM_XMM_XMM,vpinsrd_IMM_MEM_XMM_XMM,vscatterdps_XMM_MEM,vscatterdps_YMM_MEM,vshufps_IMM_YMM_YMM_YMM,vxorps_XMM_XMM_XMM,vpermilps_IMM_MEM_XMM,vunpcklps_XMM_XMM_XMM,vextractf128_IMM_YMM_MEM,vinsertf32x4_IMM_MEM_YMM_YMM,vmovss_XMM_XMM_XMM,andq_IMM_GPR,leave,movq_GPR_GPR,pushq_GPR,vbroadcastss_XMM_XMM,vfmadd213ps_MEM_XMM_XMM,vbroadcastss_MEM_YMM,vbroadcastss_XMM_YMM,vpxor_XMM_XMM_XMM,vextractf32x4_IMM_YMM_XMM,movq_GPR_MEM,movq_MEM_GPR,popq_GPR,vaddps_MEM_XMM_XMM,vinsertf128_IMM_XMM_YMM_YMM,vmovdqa64_YMM_YMM,vextractps_IMM_XMM_GPR,vmovd_GPR_XMM,addq_IMM_GPR,vmovaps_MEM_XMM,vmovaps_XMM_MEM
test-codes/bibd_15_3.spf.c, AUTOVEC=true ,gcc,9558.894736842105,2082.0,1152.8,true,0.016666666666666666,0.0,21536.8,3.0,293.0,21.0,6.0,39.0,58.0,140.0,2.0,5.0,25.0,8.0,8.0,144.0,2.0,6.0,4.0,7.0,3.0,389.0,175.0,70.0,127.0,38.0,62.0,32.0,21.0,6.0,150.0,74.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
test-codes/bibd_15_3.spf.c, MACVETH ,gcc,10294.95,2083.0,1114.75,-1,0.0,0.05,22076.315789473683,43.0,1221.0,152.0,24.0,5.0,-1.0,48.0,-1.0,-1.0,-1.0,4.0,-1.0,267.0,-1.0,-1.0,141.0,-1.0,-1.0,422.0,252.0,114.0,98.0,-1.0,-1.0,94.0,95.0,5.0,569.0,350.0,1.0,1.0,0.0,34.0,2.0,1.0,3.0,64.0,1.0,2.0,1.0,1.0,51.0,7.0,3.0,3.0,136.0,17.0,2.0,8.0,3.0,262.0,44.0,262.0,47.0,1.0,4.0,32.0,14.0,3.0,2.0,1.0,32.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
test-codes/football.spf.c, AUTOVEC=true ,gcc,10897.263157894737,2813.0,279.4,true,0.016666666666666666,0.05,26031.052631578947,-1.0,-1.0,-1.0,11.0,9.0,-1.0,106.0,1.0,-1.0,15.0,11.0,-1.0,529.0,3.0,20.0,46.0,-1.0,16.0,607.0,131.0,22.0,-1.0,1.0,-1.0,-1.0,-1.0,20.0,31.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
test-codes/football.spf.c, MACVETH ,gcc,17040.85,3288.0,588.05,-1,0.0,0.05,33627.57894736842,59.0,349.0,160.0,3.0,1.0,-1.0,207.0,-1.0,-1.0,2.0,-1.0,-1.0,156.0,-1.0,2.0,429.0,-1.0,1.0,904.0,322.0,238.0,75.0,6.0,-1.0,26.0,26.0,1.0,156.0,112.0,1.0,1.0,0.0,110.0,92.0,11.0,75.0,62.0,1.0,93.0,1.0,1.0,134.0,42.0,120.0,46.0,338.0,277.0,46.0,151.0,46.0,357.0,80.0,350.0,97.0,-1.0,-1.0,31.0,-1.0,180.0,83.0,20.0,31.0,7.0,-1.0,-1.0,22.0,55.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
test-codes/spaceStation_3.spf.c, AUTOVEC=true ,gcc,26916.0,5725.0,3849.315789473684,true,0.05,0.05,50116.31578947369,5.0,203.0,21.0,137.0,10.0,19.0,76.0,1.0,10.0,34.0,39.0,118.0,176.0,-1.0,-1.0,2.0,6.0,-1.0,304.0,158.0,123.0,167.0,3.0,28.0,10.0,21.0,116.0,153.0,52.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
test-codes/spaceStation_3.spf.c, MACVETH ,gcc,28838.684210526317,5757.0,3615.0,-1,0.016666666666666666,0.05,52737.57894736842,43.0,1221.0,152.0,24.0,5.0,-1.0,48.0,-1.0,-1.0,-1.0,4.0,-1.0,267.0,-1.0,-1.0,141.0,-1.0,-1.0,422.0,252.0,114.0,98.0,-1.0,-1.0,94.0,95.0,5.0,569.0,350.0,1.0,1.0,0.0,31.0,2.0,1.0,3.0,64.0,1.0,2.0,1.0,1.0,51.0,7.0,3.0,3.0,136.0,17.0,2.0,8.0,3.0,262.0,44.0,262.0,47.0,1.0,4.0,32.0,14.0,3.0,2.0,1.0,32.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
test-codes/adder_dcop_06.spf.c, AUTOVEC=true ,gcc,78537.55,20319.0,6654.315789473684,true,0.016666666666666666,0.05,144983.05263157896,-1.0,-1.0,-1.0,11.0,1.0,22.0,177.0,-1.0,-1.0,66.0,4.0,-1.0,457.0,-1.0,4.0,3.0,-1.0,2.0,678.0,215.0,5.0,44.0,1.0,22.0,-1.0,-1.0,2.0,4.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
test-codes/adder_dcop_06.spf.c, MACVETH ,gcc,90467.8947368421,23670.0,5674.8421052631575,-1,0.03333333333333333,0.05,162769.36842105264,-1.0,-1.0,42.0,15.0,13.0,111.0,201.0,-1.0,3.0,33.0,4.0,1.0,-1.0,-1.0,-1.0,139.0,1.0,-1.0,658.0,239.0,192.0,395.0,20.0,110.0,-1.0,-1.0,6.0,-1.0,-1.0,1.0,1.0,2.0,418.0,62.0,8.0,50.0,-1.0,8.0,252.0,1.0,1.0,107.0,14.0,59.0,60.0,98.0,89.0,59.0,83.0,58.0,53.0,67.0,66.0,38.0,-1.0,1.0,-1.0,1.0,62.0,50.0,20.0,-1.0,2.0,-1.0,-1.0,62.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,2.0,4.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
test-codes/N_biocarta.spf.c, AUTOVEC=true ,gcc,39885.89473684211,11268.0,1156.7368421052631,true,0.03333333333333333,0.05,75854.52631578948,1.0,383.0,23.0,6.0,16.0,-1.0,294.0,-1.0,-1.0,69.0,-1.0,-1.0,250.0,-1.0,4.0,4.0,-1.0,2.0,825.0,356.0,61.0,14.0,13.0,-1.0,46.0,25.0,1.0,194.0,98.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
test-codes/N_biocarta.spf.c, MACVETH ,gcc,46606.05263157895,11622.0,1307.1052631578948,-1,0.03333333333333333,0.05,81313.78947368421,82.0,204.0,148.0,5.0,5.0,3.0,108.0,-1.0,-1.0,8.0,-1.0,1.0,155.0,-1.0,-1.0,354.0,-1.0,1.0,650.0,367.0,188.0,74.0,7.0,1.0,-1.0,2.0,2.0,9.0,129.0,1.0,1.0,2.0,214.0,95.0,9.0,74.0,150.0,5.0,89.0,1.0,1.0,172.0,39.0,91.0,144.0,302.0,226.0,151.0,131.0,144.0,324.0,55.0,347.0,62.0,-1.0,1.0,75.0,1.0,121.0,82.0,22.0,75.0,8.0,-1.0,2.0,37.0,27.0,9.0,1.0,-1.0,1.0,6.0,4.0,1.0,1.0,-1.0,-1.0,-1.0,13.0,14.0,6.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
