MATRIX,CFG,Compiler,CPU_CLK_THREAD_UNHALTED:THREAD_P,INST_RETIRED:ANY_P,UOPS_EXECUTED:STALL_CYCLES,AUTOVEC,DiscardedPapiValues,MACVETH,Scop Skipped,Scop Vect.
test-codes/bibd_15_3.spf.c, AUTOVEC=true ,gcc,9376.65,2082.0,1141.05,true,0.0,-1.0,-1.0,-1.0
test-codes/bibd_15_3.spf.c, MACVETH ,gcc,9947.842105263158,2124.0,1140.3,-1,0.016666666666666666,1.0,0.0,41.0
test-codes/football.spf.c, AUTOVEC=true ,gcc,10648.736842105263,2813.0,316.7,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/football.spf.c, MACVETH ,gcc,16681.63157894737,3587.0,729.0526315789474,-1,0.03333333333333333,1.0,0.0,86.0
test-codes/spaceStation_3.spf.c, AUTOVEC=true ,gcc,26533.736842105263,5725.0,3878.75,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/spaceStation_3.spf.c, MACVETH ,gcc,28850.85,5781.0,3568.35,-1,0.0,1.0,0.0,31.0
test-codes/adder_dcop_06.spf.c, AUTOVEC=true ,gcc,74643.31578947368,20319.0,6684.105263157895,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/adder_dcop_06.spf.c, MACVETH ,gcc,92136.63157894737,24025.0,6664.1,-1,0.016666666666666666,1.0,0.0,488.0
test-codes/N_biocarta.spf.c, AUTOVEC=true ,gcc,38993.7,11268.0,1142.35,true,0.0,-1.0,-1.0,-1.0
test-codes/N_biocarta.spf.c, MACVETH ,gcc,46462.15,11927.0,1408.5,-1,0.0,1.0,0.0,219.0
test-codes/celegans_metabolic.spf.c, AUTOVEC=true ,gcc,34039.6,8153.0,2569.7,true,0.0,-1.0,-1.0,-1.0
test-codes/celegans_metabolic.spf.c, MACVETH ,gcc,42288.94736842105,10549.0,1986.1,-1,0.016666666666666666,1.0,0.0,341.0
test-codes/Pd.spf.c, AUTOVEC=true ,gcc,87278.75,20784.0,6274.0526315789475,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/Pd.spf.c, MACVETH ,gcc,93840.6,21342.0,5593.7,-1,0.0,1.0,0.0,359.0
test-codes/3elt_dual.spf.c, AUTOVEC=true ,gcc,252490.1,68971.0,8439.95,true,0.0,-1.0,-1.0,-1.0
test-codes/3elt_dual.spf.c, MACVETH ,gcc,322053.5789473684,79314.0,15214.35,-1,0.016666666666666666,1.0,0.0,1934.0
test-codes/G3.spf.c, AUTOVEC=true ,gcc,269880.36842105264,76767.0,11478.473684210527,true,0.05,-1.0,-1.0,-1.0
test-codes/G3.spf.c, MACVETH ,gcc,372826.84210526315,98710.0,20070.15,-1,0.03333333333333333,1.0,0.0,2755.0
test-codes/cat_ears_3_4.spf.c, AUTOVEC=true ,gcc,316313.7368421053,81765.0,12857.1,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/cat_ears_3_4.spf.c, MACVETH ,gcc,428006.6842105263,107895.0,24111.45,-1,0.03333333333333333,1.0,0.0,3051.0
test-codes/cep1.spf.c, AUTOVEC=true ,gcc,66565.85,17432.0,2168.315789473684,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/cep1.spf.c, MACVETH ,gcc,70148.57894736843,19484.0,3269.2631578947367,-1,0.05,1.0,0.0,486.0
test-codes/circuit_2.spf.c, AUTOVEC=true ,gcc,137626.42105263157,35779.0,20522.45,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/circuit_2.spf.c, MACVETH ,gcc,161033.45,38743.0,17359.65,-1,0.016666666666666666,1.0,0.0,887.0
test-codes/deter8.spf.c, AUTOVEC=true ,gcc,164996.15789473685,41894.0,5696.736842105263,true,0.05,-1.0,-1.0,-1.0
test-codes/deter8.spf.c, MACVETH ,gcc,218039.75,56850.0,11675.65,-1,0.016666666666666666,1.0,0.0,1007.0
test-codes/l9.spf.c, AUTOVEC=true ,gcc,32122.894736842107,9659.0,741.9,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/l9.spf.c, MACVETH ,gcc,39178.78947368421,11568.0,1496.95,-1,0.016666666666666666,1.0,0.0,109.0
test-codes/pde900.spf.c, AUTOVEC=true ,gcc,16384.75,2249.0,6824.65,true,0.0,-1.0,-1.0,-1.0
test-codes/pde900.spf.c, MACVETH ,gcc,16280.2,2249.0,6821.95,-1,0.016666666666666666,1.0,0.0,0.0
test-codes/rajat13.spf.c, AUTOVEC=true ,gcc,359429.15789473685,91620.1,81513.8,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/rajat13.spf.c, MACVETH ,gcc,391326.3,92290.1,77440.45,-1,0.0,1.0,0.0,517.0
test-codes/power.spf.c, AUTOVEC=true ,gcc,121052.45,32850.0,1388.7,true,0.0,-1.0,-1.0,-1.0
test-codes/power.spf.c, MACVETH ,gcc,155259.95,40985.0,4387.2,-1,0.0,1.0,0.0,980.0
test-codes/bibd_15_3.spf.c, AUTOVEC=true ,icc,8842.21052631579,1996.0,1285.15,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/bibd_15_3.spf.c, MACVETH ,icc,11668.75,2241.0,1115.2,-1,0.0,1.0,0.0,41.0
test-codes/football.spf.c, AUTOVEC=true ,icc,16851.42105263158,4624.0,1308.5263157894738,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/football.spf.c, MACVETH ,icc,17354.42105263158,3790.0,755.5,-1,0.016666666666666666,1.0,0.0,86.0
test-codes/spaceStation_3.spf.c, AUTOVEC=true ,icc,19419.473684210527,3611.0,3795.75,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/spaceStation_3.spf.c, MACVETH ,icc,22441.36842105263,4056.0,3330.8,-1,0.016666666666666666,1.0,0.0,31.0
test-codes/adder_dcop_06.spf.c, AUTOVEC=true ,icc,80491.31578947368,23483.0,6777.105263157895,true,0.03333333333333333,-1.0,-1.0,-1.0
test-codes/adder_dcop_06.spf.c, MACVETH ,icc,98577.05263157895,25275.0,4031.1,-1,0.016666666666666666,1.0,0.0,488.0
test-codes/N_biocarta.spf.c, AUTOVEC=true ,icc,38085.75,11152.0,869.6842105263158,true,0.016666666666666666,-1.0,-1.0,-1.0
test-codes/N_biocarta.spf.c, MACVETH ,icc,50291.45,11954.0,1224.5263157894738,-1,0.016666666666666666,1.0,0.0,219.0
test-codes/celegans_metabolic.spf.c, AUTOVEC=true ,icc,41272.9,11707.0,3794.15,true,0.016666666666666666,-1.0,-1.0,-1.0
