MATRIX,CFG,Compiler,CPU_CLK_THREAD_UNHALTED:THREAD_P,INST_RETIRED:ANY_P,UOPS_RETIRED:ALL,UOPS_ISSUED:ALL,UOPS_EXECUTED:STALL_CYCLES,AUTOVEC,DiscardedPapiValues,MACVETH,Scop Skipped,Scop Vect.
test-codes/bibd_15_3.spf.c, AUTOVEC=true ,gcc,11201.4,2082.0,2966.684210526316,2165.9,1411.3684210526317,true,0.02,-1.0,-1.0,-1.0
test-codes/bibd_15_3.spf.c, MACVETH ,gcc,12104.3,2128.0,3112.0526315789475,2594.55,1699.0,-1,0.02,1.0,0.0,41.0
test-codes/football.spf.c, AUTOVEC=true ,gcc,21287.052631578947,2813.0,4374.3,2938.75,1503.7368421052631,true,0.02,-1.0,-1.0,-1.0
test-codes/football.spf.c, MACVETH ,gcc,25426.736842105263,3774.0,6467.75,5635.2,1576.2105263157894,-1,0.02,1.0,0.0,86.0
test-codes/spaceStation_3.spf.c, AUTOVEC=true ,gcc,31102.842105263157,5725.0,9111.15,6619.25,4594.105263157895,true,0.02,-1.0,-1.0,-1.0
test-codes/spaceStation_3.spf.c, MACVETH ,gcc,42601.7,7964.0,11321.75,9409.35,4068.25,-1,0.0,1.0,0.0,31.0
test-codes/adder_dcop_06.spf.c, AUTOVEC=true ,gcc,131285.84210526315,20319.0,30634.05,20846.4,10789.85,true,0.02,-1.0,-1.0,-1.0
test-codes/adder_dcop_06.spf.c, MACVETH ,gcc,153965.75,24043.0,37725.05,29062.57894736842,10661.65,-1,0.02,1.0,0.0,488.0
test-codes/N_biocarta.spf.c, AUTOVEC=true ,gcc,71097.78947368421,11268.0,15892.75,11475.21052631579,5084.8,true,0.02,-1.0,-1.0,-1.0
test-codes/N_biocarta.spf.c, MACVETH ,gcc,56956.15,11918.0,17777.45,14319.5,4854.1578947368425,-1,0.01,1.0,0.0,219.0
test-codes/celegans_metabolic.spf.c, AUTOVEC=true ,gcc,55921.84210526316,8153.0,12569.55,8365.75,4429.9,true,0.01,-1.0,-1.0,-1.0
test-codes/celegans_metabolic.spf.c, MACVETH ,gcc,67992.73684210527,10731.0,17422.3,14346.2,4118.75,-1,0.01,1.0,0.0,341.0
test-codes/Pd.spf.c, AUTOVEC=true ,gcc,145474.35,20784.0,31832.78947368421,21536.95,12919.0,true,0.01,-1.0,-1.0,-1.0
test-codes/Pd.spf.c, MACVETH ,gcc,143381.8947368421,21559.0,34641.3,26274.35,11976.21052631579,-1,0.02,1.0,0.0,359.0
test-codes/3elt_dual.spf.c, AUTOVEC=true ,gcc,481452.6,68971.1,107824.1052631579,72733.05,26694.78947368421,true,0.02,-1.0,-1.0,-1.0
test-codes/3elt_dual.spf.c, MACVETH ,gcc,546322.9,85170.15,149621.35,122800.63157894737,25282.7,-1,0.01,1.0,0.0,1934.0
test-codes/G3.spf.c, AUTOVEC=true ,gcc,533030.1,76767.0,117512.0,77757.84210526316,23777.05,true,0.02,-1.0,-1.0,-1.0
test-codes/G3.spf.c, MACVETH ,gcc,640975.35,98765.0,171494.55,134302.45,26511.9,-1,0.01,1.0,0.0,2755.0
test-codes/cat_ears_3_4.spf.c, AUTOVEC=true ,gcc,575842.95,81765.15,128473.36842105263,83257.65,32294.0,true,0.02,-1.0,-1.0,-1.0
test-codes/cat_ears_3_4.spf.c, MACVETH ,gcc,723416.95,111186.1,188998.0,147793.25,32063.25,-1,0.01,1.0,0.0,3051.0
test-codes/cep1.spf.c, AUTOVEC=true ,gcc,88753.7,17432.0,27265.0,18816.45,7636.684210526316,true,0.01,-1.0,-1.0,-1.0
test-codes/cep1.spf.c, MACVETH ,gcc,123829.8947368421,19484.0,30265.8,23030.4,7812.9473684210525,-1,0.03,1.0,0.0,486.0
test-codes/circuit_2.spf.c, AUTOVEC=true ,gcc,243322.1,35779.0,53510.2,36749.0,23852.3,true,0.01,-1.0,-1.0,-1.0
test-codes/circuit_2.spf.c, MACVETH ,gcc,247541.55,39906.15,63428.73684210526,50980.8,21394.6,-1,0.01,1.0,0.0,887.0
test-codes/deter8.spf.c, AUTOVEC=true ,gcc,311419.7368421053,41894.0,68097.25,42132.1,19486.9,true,0.02,-1.0,-1.0,-1.0
test-codes/deter8.spf.c, MACVETH ,gcc,371840.75,56850.0,101533.68421052632,77618.1,20076.5,-1,0.01,1.0,0.0,1007.0
test-codes/l9.spf.c, AUTOVEC=true ,gcc,39574.45,9659.0,12289.2,9775.6,2986.0,true,0.01,-1.0,-1.0,-1.0
test-codes/l9.spf.c, MACVETH ,gcc,59788.31578947369,11783.0,15199.55,12134.05,3246.1052631578946,-1,0.02,1.0,0.0,109.0
test-codes/rajat13.spf.c, AUTOVEC=true ,gcc,576422.1,91620.0,141547.2,101690.95,82366.1052631579,true,0.01,-1.0,-1.0,-1.0
test-codes/rajat13.spf.c, MACVETH ,gcc,589861.2,137628.35,188262.6,157659.94736842104,65800.65,-1,0.01,1.0,0.0,517.0
test-codes/power.spf.c, AUTOVEC=true ,gcc,231797.3,32850.0,51171.6,33206.05263157895,15050.75,true,0.02,-1.0,-1.0,-1.0
test-codes/power.spf.c, MACVETH ,gcc,265618.1,40999.0,68943.7,53458.6,12700.21052631579,-1,0.01,1.0,0.0,980.0
